"Lehrer_ID","Initialkennwort","PasswordHash"
9,PMnIvqY3gn,$2a$10$tbmq0b.uiBsBUJRI4tQ.7OGT1nIZf4FCOGjy9DfY.RQU.yT59nJaG
32,"2nAOt6Mz3n",$2a$10$Gva69A6A4TadVaAo0mV0yuDTSStbSKaWzogcvmENF5C7K9AOrF27y
44,CPP8TtF8qQ,$2a$10$jCtHach9ItBOx1/Kay50t.DpHJbPbuO1Xr6AmIOTU6ZsfhTeo4K2K
45,fLBnLNm33j,$2a$10$bEmm2I7w5YvKdnGfZ7OYFul1nZgrGszsjUIAlVwuqGw.5dMCZbqJ2
73,J1aWB9unJO,$2a$10$QmozyomU6MaDKDb38i1Ej.LZU8GLLQNODTbpuK9/1ILP/DykLfZnK
95,"0K3ajYSdrV",$2a$10$ytJ7IDEFg3UdxTLW4ld4MeSi7stXfI1W0DG0JgsonFZw6uj/fz9V.
124,b9Gbs8IeT2,$2a$10$fdF0rGk214VErggeVHUioe1eeb1vpCPXc0IMrhp8arrOTFPHPnZKe
130,KXp1CuI0dh,$2a$10$eNcbYdUDQcrPFH0mLRRWkeE4q5FFvRV3hXhZsVl9r.5QtKeXlaciC
146,HBLwL4hS53,$2a$10$.Hxe4xTtgP3CF/iqvTAvPuUHL8GvyGocjHspc0HoX.VI8PL3kyybi
155,"8F5YBt21un",$2a$10$phhY1z2HnH3BH1hGE7vH8OT09Gkb.mTKQw9zdSW.oShFgfcA/UuIe
190,"6GgKm2lYr1",$2a$10$ZitTUHDIgHRl6vMOj0U.IOpukLgV5UrP07lw4/z1VVUXBGqYLozVm
200,faSDS4jMFn,$2a$10$u7ea13QrCH6J7fLgc3K1kuPnXu4ymsrrx05mxqrQiicwQngmrscRa
205,JRLv3Oa4rY,$2a$10$6mhPfa1y0yPO2M.GJRRZROlTIgn2mKJhMnpePtCgAYvrhFD8qlI1K
212,o0f0QiW4Bk,$2a$10$10z85tfpsCWK5IBLd0W/QOSlS7Yvd2bU39Bxl8ii2.VyT4C3FiCly
213,HUanG501Uq,$2a$10$PiizvVy1WdUgcGyGo6.QfuYtXe1EKjuRzqgqhandHM2eIuv4NosfK
218,"2G1p7iUC2Y",$2a$10$6CLNDBz9Ji.E0b02VXIQUuhD2FGP8.xigNWL08WBqMwzDNXgsgW2a
219,KiT2YLkqkz,$2a$10$tT2o8Gs122Exksq.FeOM..ywjSjkPTUhDcqBCjYKb.XCRKJQA2bsa
220,"8TBNt1Ct2S",$2a$10$AiSn9srA79rtlFuUoXUs1eJRacy.id7FbGB7MCAqfLSaH1i0oTcgu
226,iD29Sbb3lw,$2a$10$JHZZZd3Ch20rxX2WuDldCujzZiehUDDDTFXOUIGKWgmEFwDsTlJIa
241,fGlkn4nEPB,$2a$10$DGWBmWT4CLy4hmeLM26bWuS6N9yIYK/dm.g/ed.UkqTmJ3mESNHyq
250,"3y63UtD60O",$2a$10$Nz90.RqzgV0hI/uUl5rWluy5sEdJ3PEiYrOhaP.ygpAQLCa5.42yS
258,hpOf4bxB5K,$2a$10$zZZ6eQOBqS8vZIyMkcYC1.wqgc.A0LykwKWifyftEsrpXrTgaOuuq
