ID;Kuerzel;Nachname;DienstMail
20;BERT;Berthold;D.Berthold@lmail.de
21;BICA;Bican;C.Bican@lmail.de
25;BLAV;Blavin;D.Blavin@lmail.de
41;BURT;Burtenbach;M.Burtenbach@lmail.de
38;FIßL;Fißler;M.Fißler@lmail.de
48;GEHR;Gehring;M.Gehring@lmail.de
56;GIES;Giesen;T.Giesen@lmail.de
33;GOAD;Goad;K.Goad@lmail.de
5;GREY;Greyensen;pfotenhauer@schildnrw.de
49;GRÜN;Grünwald;V.Grünwald@lmail.de
23;GÜCK;Gücker;C.Gücker@lmail.de
47;HONI;Honig;K.Honig@lmail.de
32;JÄNI;Jänichen;J.Jänichen@lmail.de
37;LONS;Lonsert;D.Lonsert@lmail.de
30;MANS;Mansdorf;D.Mansdorf@lmail.de
55;PFIR;Pfirrmann;J.Pfirrmann@lmail.de
8;RAGG;Ragge;H.Ragge@lmail.de
9;RÖWI;Röwing;K.Röwing@lmail.de
57;SCHN;Schnitenharn;M.Schnitenharn@lmail.de
53;SCHR;Schröder;D.Schröder@lmail.de
52;SIBB;Sibbersen;I.Sibbersen@lmail.de
51;UND;und;U.und@lmail.de
54;VARE;Varensell;U.Varensell@lmail.de
